domain,miner_ip
ethermine.org,104.21.39.175
etho-eu.upool.in,199.59.243.223
etho-us.upool.in,199.59.243.223
etho.pool.sexy,159.69.56.113
etho.upool.in,199.59.243.223
ethv2-eu.f2pool.com,172.65.212.50
etnx.pool-pay.com,176.9.119.47
etp.2miners.com,162.19.139.119
etp.dodopool.com,52.31.129.74
etp.sandpool.org,81.171.28.45
eu-01.miningrigrentals.com,188.166.37.58
eu-bch.ss.btc.com,13.248.151.222
eu-de01.miningrigrentals.com,188.166.161.62
eu-de02.miningrigrentals.com,165.227.153.169
eu-etc.hiveon.net,172.65.222.14
eu-eth.hiveon.net,34.90.112.127
eu-mine.smartcash.cc,104.237.10.164
eu-pool.wienchain.com,3.127.21.66
eu-ru01.miningrigrentals.com,91.210.105.199
eu-solo-zel.zellabs.net,78.46.178.183
eu-west-stratum.grinmint.com,35.181.13.143
eu-xsg.equihub.pro,65.108.45.36
eu-zcl.equihub.pro,65.108.45.36
eu-zel.equihub.pro,65.108.45.36
eu-zel.zellabs.net,95.216.172.217
eu-zer.equihub.pro,65.108.45.36
eu-zero.equihub.pro,65.108.45.36
eu-zil.rustpool.xyz,52.49.70.187
eu.aionpool.tech,168.119.146.54
eu.altpool.eu,54.37.167.74
eu.bsod.pw,77.87.212.10
eu.btcprivate.pro,103.224.212.219
eu.btgpool.pro,37.187.226.146
eu.crazypool.org,95.179.161.157
eu.daxminer.com,74.220.199.6
eu.emcd.io,142.132.247.142
eu.equihub.pro,65.108.45.36
eu.etc.ezil.me,51.195.104.49
eu.expmine.pro,103.224.212.219
eu.ezil.me,51.89.41.153
eu.frostypool.com,51.91.56.176
eu.gethash.cc,103.224.212.220
eu.gos.cx,217.107.104.150
eu.luckpool.net,79.137.70.48
eu.mecrypto.club,194.163.137.179
eu.nimpool.io,35.158.223.21
eu.pool.ms,68.183.74.40
eu.poolmine.xyz,64.225.91.73
eu.ravenminer.com,116.202.110.85
eu.rig.tokyo,178.21.10.83
eu.rito.minermore.com,149.28.243.131
eu.rvn.minermore.com,136.244.92.193
eu.rvnsolo.k1pool.com,51.210.219.138
eu.sandbox.pool.ms,68.183.74.40
eu.shpool.net,172.67.130.206
eu.siamining.com,139.162.187.240
eu.ss.btc.com,172.65.222.110
eu.ss.dpool.top,199.59.150.13
eu.stratum.slushpool.com,128.199.55.158
eu.ubiqpool.io,46.101.181.185
eu1-3g.whalesburg.com,127.0.0.1
eu1-beam.flypool.org,34.102.152.90
eu1-etc.ethermine.org,51.195.60.75
eu1-zil.shardpool.io,75.2.55.61
eu1.bsod.pw,77.87.212.10
eu1.equihub.pro,65.108.45.36
eu1.ethermine.ga,103.153.74.103
eu1.fairpool.pro,82.192.82.226
eu1.hellominer.com,52.232.17.180
eu1.ltc.sigmapool.com,18.192.32.74
eu1.mastermining.net,77.239.54.198
eu1.whalesburg.com,127.0.0.1
eu1.zhash.pro,161.97.153.203
eu2-zil.rustpool.xyz,18.202.2.148
eu2.emcd.io,49.12.219.118
eu2.whalesburg.com,127.0.0.1
eupool.sinovate.io,167.86.70.134
eurocdy.pool.awmlite.com,130.185.249.132
europe.cryptonight-hub.miningpoolhub.com,66.42.40.195
europe.dgb256.online,217.182.84.205
europe.equihash-hub.miningpoolhub.com,66.42.40.195
europe.ethash-hub.miningpoolhub.com,45.77.150.66
europe.kawpow-hub.miningpoolhub.com,45.77.150.66
europe.lyra2z-hub.miningpoolhub.com,45.77.150.66
europe.randomx-hub.miningpoolhub.com,66.42.40.195
exp-eu.dwarfpool.com,127.0.0.1
exp.2miners.com,162.19.139.119
ezil.me,172.67.28.197
f2pool.com,104.18.3.198
fastepic.eu,88.156.253.31
fastpool.xyz,213.91.128.133
fed.cryptonote.club,184.174.34.42
fenixpool.top,209.141.38.71
fi.haven.herominers.com,141.95.126.31
fr.moneroocean.stream,199.247.0.216
fra.gltminer.com,80.240.29.156
frankfurt01.hashvault.pro,45.76.89.70
freshgarlicblocks.net,64.227.73.65
fullnode.quarkchain.io,209.97.147.80
gap.suprnova.cc,5.9.193.21
gate.emcd.io,5.188.78.232
geo.pool.akroma.eu,213.32.53.176
geo.pool.whalecoin.eu,185.198.70.250
gomine.pro,103.224.212.221
gpuhash.org,104.21.61.226
gpuhot.com,142.234.25.178
graft.ingest.cryptoknight.cc,69.16.230.42
graft.westcoastxmr.ca,207.148.153.11
grimm-eu.ravepool.com,138.197.221.255
grimm-us.ravepool.com,138.197.221.255
grimm.sunpool.top,116.203.132.225
grin-pool.org,185.53.177.52
grin.2miners.com,162.19.139.184
grin.antpool.com,47.112.85.133
grin.pool.minergate.com,136.243.102.154
grin.sparkpool.com,203.107.33.230
grincuckatoo31.eu.nicehash.com,34.111.63.242
grincuckatoo31.hk.nicehash.com,34.111.63.242
grincuckatoo31.usa.nicehash.com,34.111.63.242
grincuckatoo32.eu.nicehash.com,34.111.90.158
grincuckatoo32.hk.nicehash.com,34.111.90.158
grincuckatoo32.usa.nicehash.com,34.111.90.158
groestl.asia.mine.zergpool.com,51.79.251.11
groestl.eu.mine.zpool.ca,188.165.24.209
groestl.jp.mine.zpool.ca,198.50.168.213
groestl.mine.zergpool.com,103.249.70.7
groestl.mining-dutch.nl,54.38.64.46
groestl.na.mine.zpool.ca,198.50.168.213
grs.suprnova.cc,145.239.0.106
gs.poolbinance.com,172.65.217.190
gulf.moneroocean.stream,51.75.64.249
handshake-de.6block.com,8.209.83.152
handshake-us.6block.com,47.88.21.234
handshake.6block.com,149.129.80.119
hathor.acc-pool.pw,162.55.7.43
haven.herominers.com,141.95.126.31
haven.miner.rocks,188.165.198.144
hc.antpool.com,47.112.122.28
hex.eu.mine.zpool.ca,188.165.24.209
hex.jp.mine.zpool.ca,198.50.168.213
hex.na.mine.zpool.ca,198.50.168.213
hk.haven.herominers.com,141.95.126.31
hmq1725.asia.mine.zergpool.com,51.79.251.11
hmq1725.eu.mine.zergpool.com,141.95.55.97
hmq1725.eu.mine.zpool.ca,188.165.24.209
hmq1725.jp.mine.zpool.ca,198.50.168.213
hmq1725.mine.ahashpool.com,3.64.163.50
hmq1725.mine.blazepool.com,3.64.163.50
hmq1725.mine.zergpool.com,103.249.70.7
hmq1725.na.mine.zpool.ca,198.50.168.213
hmq1725.sea.mine.zpool.ca,198.50.168.213
hns.f2pool.com,3.120.155.25
hns.pool.blackminer.com,47.91.170.222
hns.ss.dxpool.com,35.76.39.213
hodl.suprnova.cc,217.182.138.181
honeycomb.eu.mine.zpool.ca,188.165.24.209
honeycomb.na.mine.zpool.ca,198.50.168.213
hub.miningpoolhub.com,45.77.150.66
hush.2miners.com,162.19.139.182
hush.suprnova.cc,147.135.220.159
icemining.ca,172.67.71.15
in.stratu.ms,134.209.156.206
infinity.ultranote.org,207.244.228.24
italo.ingest.cryptoknight.cc,69.16.230.42
italo.network,104.251.217.80
jeonghash.eu.mine.zpool.ca,188.165.24.209
jp-01.miningrigrentals.com,167.179.76.62
jp.stratum.slushpool.com,13.230.45.4
k12.asia.mine.zergpool.com,51.79.251.11
k12.mine.zergpool.com,103.249.70.7
k12.na.mine.zergpool.com,149.56.111.148
kawpow.asia.mine.zergpool.com,51.79.251.11
kawpow.br.nicehash.com,35.190.124.115
kawpow.eu.mine.zergpool.com,141.95.55.97
kawpow.eu.nicehash.com,35.190.124.115
kawpow.hk.nicehash.com,35.190.124.115
kawpow.in.nicehash.com,35.190.124.115
kawpow.jp.nicehash.com,35.190.124.115
kawpow.mine.zergpool.com,103.249.70.7
kawpow.mining-dutch.nl,54.38.64.112
kawpow.na.mine.zergpool.com,149.56.111.148
kawpow.usa.nicehash.com,35.190.124.115
